,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,narrabri,-30.32,149.78,64.4,68,90,5.82,AU,1603232159
276,duluth,46.78,-92.11,32,100,90,3.36,US,1603232159
277,sao filipe,20.51,76.21,73.22,84,36,2.98,IN,1603232159
278,husavik,66.04,-17.34,23,92,87,2.24,IS,1603231896
279,beyneu,45.32,55.2,44.78,67,19,10.07,KZ,1603232160
280,cabo san lucas,-8.28,-35.03,80.6,69,40,11.41,BR,1603232160
281,panalingaan,8.78,117.42,78.91,84,98,5.53,PH,1603232160
282,port blair,-7.03,29.76,76.37,64,58,7.38,CD,1603232114
283,mount isa,53.66,-1.85,55.99,90,65,1.01,GB,1603232161
284,manavgat,36.79,31.44,68,72,75,13.87,TR,1603232161
285,mastung,29.8,66.84,43.9,46,0,2.28,PK,1603232161
286,borba,-4.39,-59.59,87.1,49,77,2.15,BR,1603232009
287,west bay,31.8,-97.09,87.8,43,40,11.41,US,1603232162
288,qaanaaq,77.48,-69.36,20.57,83,0,6.49,GL,1603232162
289,stanger,-29.33,31.29,64.4,82,76,3.36,ZA,1603232162
290,makakilo city,21.35,-158.09,84.2,78,75,6.93,US,1603232163
291,kyren,51.68,102.14,26.06,82,40,0.87,RU,1603232163
292,flin flon,48.5,6.66,59,54,100,9.17,FR,1603232163
293,altay,47.87,88.12,36.14,68,5,3.36,CN,1603232163
294,buala,-8.14,159.59,84.49,71,96,6.46,SB,1603232164
295,tuatapere,-46.13,167.68,53.01,69,12,7,NZ,1603231865
296,yeppoon,-23.13,150.73,75.2,64,40,5.82,AU,1603232164
297,sabang,5.89,95.32,82.38,77,83,14.81,ID,1603231971
298,faanui,-16.48,-151.75,78.94,81,43,17.25,PF,1603232164
299,biloela,-24.42,150.5,72.61,69,45,7.31,AU,1603232122
300,ati,13.22,18.34,87.82,13,0,7.72,TD,1603232165
301,shiyan,32.65,110.78,53.29,78,41,6.11,CN,1603232165
302,iwanai,42.97,140.51,45.23,66,0,5.28,JP,1603232036
303,biak,-0.91,122.88,76.23,76,97,5.12,ID,1603232166
304,whitehorse,60.72,-135.05,23,57,75,9.17,CA,1603231938
305,puerto escondido,36.59,-6.23,66.2,93,20,14.99,ES,1603232166
306,puerto montt,36.59,-6.23,66.2,93,20,14.99,ES,1603232166
307,olinda,-8.01,-34.86,80.6,69,40,11.41,BR,1603232167
308,beringovskiy,63.05,179.32,40.95,87,99,13.22,RU,1603231924
309,matara,5.95,80.54,77.67,89,14,9.69,LK,1603232167
310,moramanga,-18.93,48.2,62.46,91,99,1.88,MG,1603232167
311,yerbogachen,61.28,108.01,21.07,97,99,7.49,RU,1603232161
312,flinders,-34.58,150.86,64.99,80,13,5.01,AU,1603231944
313,ambilobe,-13.2,49.05,73.94,76,11,3.33,MG,1603232168
314,sioux lookout,42.73,-96.23,42.01,93,90,11.41,US,1603232168
315,anuradhapura,8.36,80.42,77.09,85,30,10.56,LK,1603232168
316,omboue,-1.57,9.26,77,87,99,5.84,GA,1603231937
317,norman wells,35.22,-97.44,77,65,1,11.41,US,1603231997
318,lugazi,0.38,32.92,71.6,83,20,5.82,UG,1603232169
319,pangnirtung,66.15,-65.71,26.6,92,90,3.36,CA,1603231922
320,jibuti,11.5,42.5,82.4,58,1,6.44,DJ,1603231959
321,ligayan,4.65,119.47,83.68,71,100,6.24,PH,1603232170
322,wanning,18.8,110.4,71.33,90,85,13.76,CN,1603232100
323,jizan,17.33,42.67,82.4,74,0,6.93,SA,1603232170
324,eisenach,50.98,10.32,57,80,100,6.98,DE,1603232170
325,touros,-5.2,-35.46,78.8,74,20,6.93,BR,1603231979
326,imbituba,-28.24,-48.67,77,78,20,4.7,BR,1603232171
327,kutoarjo,-7.72,109.91,77.76,87,100,2.62,ID,1603232171
328,tongliao,43.61,122.27,49.91,44,93,19.17,CN,1603232171
329,hofn,64.25,-15.21,36.25,76,1,8.63,IS,1603232171
330,siddapur,14.33,74.88,69.48,100,100,1.9,IN,1603232172
331,karratha,-20.74,116.85,66.31,67,47,9.1,AU,1603232150
332,volgodonsk,47.51,42.15,45.54,56,21,7.65,RU,1603232172
333,lewistown,40.6,-77.57,68,82,90,1.57,US,1603232173
334,wageningen,51.97,5.67,57.99,93,75,11.41,NL,1603232173
335,namatanai,-3.67,152.43,82.63,72,39,2.66,PG,1603231912
336,shubarkuduk,49.14,56.49,40.55,71,2,9.19,KZ,1603232173
337,hvolsvollur,63.75,-20.22,28,91,93,1.01,IS,1603232173
338,araouane,18.9,-3.53,88.05,14,0,6.15,ML,1603232174
339,anadyr,64.75,177.48,42.8,81,40,13.42,RU,1603232174
340,talnakh,69.49,88.4,5,92,40,2.24,RU,1603232174
341,sedona,34.87,-111.76,86,8,1,8.05,US,1603232174
342,hamada,34.88,132.08,57.99,36,89,1.01,JP,1603232174
343,tarko-sale,64.92,77.78,27.46,99,100,6.85,RU,1603232174
344,mys shmidta,62.06,48.62,30.78,99,100,2.62,RU,1603232175
345,dunedin,-45.87,170.5,46.99,90,100,5.99,NZ,1603232175
346,litovko,49.24,135.17,33.21,90,95,3.13,RU,1603231927
347,chicama,-7.84,-79.15,71.24,61,18,7.99,PE,1603232175
348,porirua,-41.13,174.85,62.01,79,96,10,NZ,1603232175
349,north bend,50.33,3.67,57,99,100,4,FR,1603232130
350,singaraja,-8.11,115.09,79.38,62,0,3,ID,1603232176
351,denpasar,-8.65,115.22,78.8,94,20,1.12,ID,1603232010
352,vila,42.03,-8.16,54,95,100,7,PT,1603232176
353,nantucket,41.28,-70.1,63,100,75,8.05,US,1603232036
354,dongsheng,39.82,109.98,28.53,79,0,7.49,CN,1603232176
355,itaituba,-4.28,-55.98,87.73,45,100,1.23,BR,1603232177
356,brasschaat,51.29,4.5,57.99,87,100,10.29,BE,1603232177
357,saint-georges,12.06,-61.75,86,70,20,20.8,GD,1603232177
358,hami,42.8,93.45,44.94,52,0,3.49,CN,1603232105
359,airai,-8.93,125.41,62.1,74,96,1.86,TL,1603231935
360,chimbarongo,-34.7,-71.05,77,29,0,11.41,CL,1603232178
361,katherine,-14.47,132.27,84.2,66,0,5.82,AU,1603231918
362,sankeshwar,16.27,74.48,71.2,91,100,5.01,IN,1603232178
363,taybad,34.74,60.78,55.51,30,0,11.92,IR,1603232098
364,namtsy,62.72,129.67,17.6,92,75,4.47,RU,1603232178
365,shuangyang,43.52,125.67,55.4,50,40,15.66,CN,1603232179
366,huambo,-12.78,15.74,67.19,36,27,0.76,AO,1603232179
367,ende,0,0,73.99,96,99,8.88,ID,1603232179
368,tabou,-8.84,121.66,78.06,72,95,1.12,CI,1603232179
369,kuala terengganu,4.42,-7.35,77.32,83,78,7.45,ID,1603232180
370,maceio,3.38,98.62,78.8,94,40,4.7,BR,1603231992
371,adrar,-9.67,-35.74,75.2,78,10,8.05,MR,1603232180
372,toyooka,20.5,-10.07,86.38,15,0,7.07,JP,1603232180
373,khromtau,35.53,134.83,51.8,87,40,9.17,KZ,1603232180
374,codrington,50.25,58.43,39.36,73,28,17.98,AU,1603231909
375,penzance,-38.27,141.97,52.16,82,22,3.18,GB,1603232181
376,cavalcante,50.12,-5.54,57.2,93,40,12.75,BR,1603232125
377,coquimbo,-13.8,-47.46,76.37,64,98,2.73,CL,1603231913
378,vanimo,-29.95,-71.34,57.2,82,75,13.87,PG,1603232182
379,kerouane,-2.67,141.3,79.88,83,98,3.98,GN,1603232182
380,srednekolymsk,9.27,-9.02,71.62,87,44,1.19,RU,1603231932
381,nuuk,67.45,153.68,15.6,96,94,5.46,GL,1603232165
382,puerto ayora,64.18,-51.72,35.6,80,75,14.99,ES,1603232166
383,gadarwara,36.59,-6.23,66.2,93,20,14.99,IN,1603232182
384,grootfontein,22.92,78.78,74.07,62,0,3.98,NA,1603232183
385,tucumcari,-19.57,18.12,70.25,22,3,4.61,US,1603232183
386,nichinan,35.17,-103.72,89.01,9,0,1.01,JP,1603232183
387,yar-sale,31.6,131.37,59,82,40,5.82,RU,1603231919
388,uren,66.83,70.83,25.48,98,100,4.32,RU,1603232184
389,dudinka,57.46,45.79,31.55,98,28,8.52,RU,1603231937
390,stykkisholmur,69.41,86.18,5,92,40,2.24,IS,1603232184
391,boyuibe,65.08,-22.73,38.57,93,100,8.75,BO,1603232185
392,olavarria,-20.42,-63.28,81.68,52,40,4.41,AR,1603232185
393,lensk,-36.89,-60.32,61,48,15,5.01,RU,1603232185
394,gizo,60.73,114.93,19.81,96,89,4.79,SB,1603232185
395,salalah,-8.1,156.84,84.67,71,88,5.86,OM,1603232186
396,turochak,17.02,54.09,78.8,44,77,3.36,RU,1603232186
397,rocha,52.26,87.12,35.89,83,68,2.42,UY,1603232038
398,atikokan,-34.48,-54.33,52.92,80,100,10.69,CA,1603232186
399,benguela,48.76,-91.62,33.49,85,100,7.63,AO,1603232187
400,sorong,-12.58,13.41,74.53,79,97,4.56,ID,1603231964
401,ternate,-0.88,131.25,77.23,85,38,6.38,ID,1603232187
402,nelson bay,0.8,127.4,81.23,72,44,4.03,NZ,1603232102
403,bac giang,-41.28,173.28,64,61,21,3.38,RS,1603232187
404,huarmey,45.39,19.24,45,93,56,8.05,PE,1603232188
405,nioro,-10.07,-78.15,67.17,72,41,8.66,GM,1603232188
406,novosibirsk,13.35,-15.75,78.96,78,78,7.23,RU,1603232188
407,keetmanshoop,55.04,82.93,39.2,80,90,8.95,NA,1603232189
408,semporna,-26.58,18.13,63.86,25,0,11.97,MY,1603232189
409,tavda,4.48,118.61,75.2,94,20,2.24,RU,1603232189
410,grindavik,58.04,65.27,36.79,83,96,7.43,IS,1603232189
411,juneau,63.84,-22.43,35.6,71,90,3.36,US,1603232103
412,watsa,58.3,-134.42,42.01,86,90,4.7,CD,1603232190
413,krasnoselkup,3.04,29.54,65.07,98,100,0.31,RU,1603232190
414,kieta,65.7,82.47,24.4,98,100,9.48,PG,1603231934
415,amapa,-6.22,155.63,83.88,68,72,2.55,BR,1603232190
416,malanje,1,-52,87.03,42,83,3.83,AO,1603232190
417,lubango,-9.54,16.34,67.46,91,19,5.48,AO,1603232190
418,guerrero negro,-14.92,13.49,64.83,59,0,4.07,MX,1603232191
419,grand gaube,17.67,-100,76.37,70,100,2.26,US,1603231970
420,acari,38.88,-109.5,78.01,12,1,4.7,PE,1603232191
421,mago,-15.43,-74.62,70.56,50,0,7.49,RU,1603231928
422,thinadhoo,53.25,140.18,30.87,86,90,3.02,MV,1603232072
423,kuching,0.53,72.93,82.54,77,96,13.56,MY,1603231967
424,salcininkai,1.55,110.33,77,94,20,2.24,LT,1603232192
425,palmerston,54.3,25.38,41,93,100,10.29,AU,1603232127
426,tambopata,-12.49,130.98,84,83,20,3.36,PE,1603232193
427,samarai,-12.73,-69.18,77.11,79,100,2.28,PG,1603232193
428,mana,-10.62,150.67,79.84,84,95,7.87,GF,1603232193
429,syamzha,5.66,-53.78,81.81,73,96,13.29,RU,1603232193
430,belyy yar,60.02,41.06,29.35,96,41,9.8,RU,1603232194
431,pakxe,55.84,32.94,32.18,96,40,5.12,LA,1603232194
432,teya,15.12,105.78,72.95,92,100,2.77,RU,1603232194
433,moroto,60.38,92.63,29.41,97,99,2.71,UG,1603232194
434,hargeysa,2.53,34.67,72.5,59,99,6.93,SO,1603232195
435,dingle,9.56,44.06,67.95,37,0,4.59,PH,1603232195
436,kholm,11,122.67,76.26,92,96,6.85,RU,1603232195
437,betanzos,59.27,32.85,29.93,98,47,4.7,ES,1603232196
438,chauny,43.28,-8.21,57.99,93,20,9.17,FR,1603232196
439,san quintin,49.62,3.22,55.99,100,90,13.87,ML,1603232147
440,pasighat,13.3,-4.9,85.57,27,0,2.48,IN,1603232196
441,sambava,28.07,95.33,70,85,39,2.86,MG,1603231925
442,pochutla,-14.27,50.17,75.27,81,100,14.43,MX,1603232197
443,lufilufi,15.74,-96.47,89.6,59,75,11.41,WS,1603232197
444,pacific grove,-13.87,-171.6,84.2,89,90,10.29,US,1603231967
445,rudnogorsk,38.48,-90.74,54,87,90,4.7,RU,1603232197
446,kandrian,57.26,103.75,24.49,99,87,4.14,PG,1603232197
447,pimentel,-6.22,149.55,83.03,73,87,2.66,PE,1603232198
448,egvekinot,-6.84,-79.93,69.8,64,10,21.92,RU,1603232198
449,chenzhou,66.32,-179.17,34.12,100,100,7.05,CN,1603232198
450,grodzisk wielkopolski,25.8,113.03,54.82,88,100,6.17,PL,1603232198
451,leshukonskoye,52.48,22.32,48,76,99,3,RU,1603232198
452,shizunai,64.9,45.76,20.35,97,79,4.68,JP,1603232199
453,kardymovo,42.33,142.37,49.26,59,0,4.97,RU,1603232199
454,tomatlan,54.89,32.43,33.12,92,54,4.97,MX,1603232139
455,kaeo,19.93,-105.25,83.64,75,84,7.92,NZ,1603232199
456,faya,-35.1,173.78,63.14,72,100,6.38,SA,1603232199
457,segovia,18.39,42.45,59,20,0,4.7,ES,1603232199
458,kerema,41.17,-4,60.01,96,100,1.01,PG,1603232200
459,dzhebariki-khaya,-7.96,145.78,80.55,82,95,2.64,RU,1603232200
460,gazanjyk,62.22,135.8,15.69,94,99,3.91,TM,1603232200
461,tautira,39.24,55.52,59.2,88,16,5.77,PF,1603231902
462,aksu,-17.73,-149.15,86,66,20,14.99,CN,1603232201
463,sorland,41.12,80.26,48.96,45,0,3.11,NO,1603232201
464,butia,67.67,12.69,35.6,74,40,8.05,BR,1603232201
465,moindou,-30.12,-51.96,68.94,81,2,8.08,NC,1603232201
466,amos,-21.69,165.68,82.4,51,30,4.7,CA,1603232103
467,najran,48.57,-78.12,35.6,93,75,4.7,SA,1603232202
468,puerto lopez,17.49,44.13,64.4,25,0,2.24,ES,1603232202
469,china,36.59,-6.23,66.2,93,20,14.99,MX,1603232203
470,viseu,25.7,-99.23,92.03,36,0,15.57,PT,1603232203
471,rodos,40.66,-7.91,59,92,100,11.99,GR,1603232203
472,solnechnyy,36.44,28.22,68,72,20,3.36,RU,1603232203
473,dargaville,50.72,136.63,36.07,80,79,7.76,NZ,1603232203
474,shache,-35.93,173.88,66.7,57,100,3.04,CN,1603232204
475,sistranda,38.42,77.24,39.45,70,0,0.29,NO,1603232204
476,lieksa,63.73,8.83,35.6,80,100,10.29,FI,1603232204
477,camargo,63.32,30.02,30.85,96,100,5.79,MX,1603232204
478,lincoln,27.67,-105.17,89.06,14,0,3.42,US,1603231882
479,palauig,40.8,-96.67,46.4,70,90,10.29,PH,1603232205
480,nola,15.44,119.9,79.52,86,100,9.51,IT,1603232205
481,kalabo,40.92,14.53,61,81,39,1.12,ZM,1603232205
482,leningradskiy,-14.97,22.68,73.33,19,0,4.88,RU,1603232205
483,jacareacanga,69.38,178.42,35.38,83,100,9.28,BR,1603231947
484,visby,-6.22,-57.75,85.64,52,77,1.95,SE,1603232206
485,avera,57.64,18.3,52,87,100,10.29,US,1603232206
486,sainte-marie,33.19,-82.53,78.8,57,1,9.17,RE,1603232206
487,cidreira,-20.9,55.55,73.4,69,20,16.11,BR,1603232206
488,lorengau,-30.18,-50.21,67.68,95,11,7.27,PG,1603232086
489,woodstock,-2.02,147.27,84.27,63,73,1.28,CA,1603231946
490,kupang,43.13,-80.75,51.8,57,75,6.93,ID,1603232207
491,bahia blanca,-10.17,123.58,77,83,20,3.36,BR,1603232207
492,west plains,-12,-42,75.85,53,55,8.5,US,1603232207
493,muros,31.8,-97.09,87.8,43,40,11.41,ES,1603232207
494,saint-pierre,42.78,-9.06,57.99,92,100,15.01,RE,1603231920
495,baruun-urt,-21.34,55.48,71.6,60,20,8.05,MN,1603231997
496,bulungu,46.68,113.28,21.34,83,67,11.25,CD,1603232208
497,formosa do rio preto,-4.55,18.6,72.25,95,100,1.34,AR,1603232208
498,naron,-26.18,-58.18,96.8,37,75,10.29,ES,1603232208
499,comodoro rivadavia,43.52,-8.15,57.99,93,20,9.17,BR,1603232208
500,sechura,-13.66,-59.79,71.55,85,86,3.11,PE,1603231939
501,vardo,-5.56,-80.82,72.81,60,25,16.82,NO,1603232209
502,altamira,70.37,31.11,30.2,86,40,6.93,BR,1603231933
503,algiers,-3.2,-52.21,81.18,64,96,1.07,DZ,1603232100
504,oranjestad,36.75,3.04,78.8,26,45,19.46,AW,1603232209
505,arrah,12.52,-70.03,75.2,94,20,3.36,IN,1603232209
506,arvin,25.57,84.67,75.09,72,0,0.96,US,1603232126
507,baykit,35.21,-118.83,89.01,25,0,1.01,RU,1603232210
508,ostersund,61.67,96.37,22.15,95,95,1.32,SE,1603232210
509,eirunepe,63.18,14.64,30.2,100,100,8.05,BR,1603232210
510,port-gentil,-6.66,-69.87,84.9,64,89,2.53,GA,1603232210
511,carlagan,-0.72,8.78,77,100,20,4.7,PH,1603232210
512,ugoofaaru,14.97,122.05,79.3,85,100,11.92,MV,1603232211
513,tura,5.67,73,81.7,80,99,11.81,IN,1603232211
514,bahia honda,25.52,90.22,71.85,92,0,2.75,BR,1603232211
515,mangrol,-12,-42,75.85,53,55,8.5,IN,1603232211
516,tilichiki,21.12,70.12,82.36,81,51,8.84,RU,1603232211
517,karabulak,60.47,166.1,40.41,88,100,23.15,RU,1603232212
518,erzin,43.3,44.9,48.2,93,100,0.36,TR,1603232212
519,mizdah,36.96,36.2,73,73,1,4,LY,1603232212
520,shelburne,31.45,12.98,58.08,72,0,11.39,CA,1603232101
521,acapulco,44.08,-80.2,46.99,75,90,3.36,MX,1603232212
522,susanville,16.86,-99.89,86,74,75,9.17,US,1603232212
523,abdanan,40.42,-120.65,77,16,1,3.36,IR,1603232213
524,lazaro cardenas,32.99,47.42,60.6,29,0,5.82,DO,1603232213
525,fare,19.46,-71.33,82.99,73,74,5.23,PF,1603232213
526,celestun,-16.7,-151.02,79.25,79,51,15.3,MX,1603232213
527,gull lake,20.87,-90.4,82.58,76,4,13.71,LR,1603232213
528,shahdadkot,6.33,-10.5,77,94,75,2.51,PK,1603232214
529,bairiki,27.85,67.91,68.59,19,0,2.42,KI,1603232214
530,banda aceh,1.33,172.98,84.2,70,40,12.75,IN,1603232214
531,pecos,25.48,80.33,74.7,22,39,2.75,US,1603232214
532,slavutych,31.42,-103.49,93.2,9,1,6.93,UA,1603232214
533,mtambile,51.52,30.73,39.63,87,96,3.94,TZ,1603232215
534,nishihara,-5.38,39.7,77.54,81,2,11.14,JP,1603231954
535,cockburn town,26.18,127.76,80.6,69,90,18.34,AU,1603232215
536,nova olinda do norte,-32.08,141,64.4,36,41,6.93,BR,1603232215
537,nhulunbuy,-5.53,-46.7,82.13,58,95,5.84,AU,1603232216
538,gornopravdinsk,-12.23,136.77,80.6,78,0,4.7,RU,1603232216
539,gisborne,60.05,69.9,33.08,97,100,4.27,NZ,1603232135
540,petropavlovsk-kamchatskiy,-38.65,178,63,75,100,4,RU,1603232216
541,wakkanai,53.05,158.65,28.4,79,0,4.47,JP,1603232216
542,port antonio,45.41,141.67,50,67,0,12.39,CD,1603232155
543,pangai,-7.03,29.76,76.37,64,58,7.38,TO,1603232112
544,seymchan,-19.8,-174.35,77,57,75,16.11,RU,1603231953
545,boyolangu,62.88,152.43,15.22,94,18,2.91,ID,1603232217
546,fort pierce,-8.12,111.89,76.89,86,87,2.17,NL,1603231998
547,ponta delgada,52.65,6.39,57,93,100,4,PT,1603232217
548,tambura,38.73,-28.27,59.99,73,78,25.99,SS,1603232217
549,san pedro,5.6,27.47,70.07,94,100,3.22,ML,1603232094
